city;district;front;size;property_age;bedrooms;bathrooms;livingrooms;kitchen;garage;driver_room;maid_room;furnished;ac;roof;pool;frontyard;basement;duplex;stairs;elevator;fireplace;price;
 «·—Ì«÷;   ÕÌ «·Ê«Õ… ;‘—ﬁ;375;11;4;5;3;1;1;1;1;0;1;0;0;1;0;0;0;0;0;95000;
 «·—Ì«÷;   ÕÌ «·‰—Ã” ;‘„«·;300;0;5;5;3;1;1;1;1;0;0;1;0;1;0;0;0;1;1;120000;
 «·—Ì«÷;   ÕÌ ŸÂ—… ·»‰ ;‘—ﬁ;450;3;7;5;2;0;1;0;0;0;0;0;0;1;0;0;1;0;1;60000;
 «·—Ì«÷;   ÕÌ «·‰”Ì„ «·‘—ﬁÌ ;‘„«·;200;7;3;5;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;31000;
 «·—Ì«÷;   ÕÌ «·ﬁ«œ”Ì… ;‘„«·;384;0;5;5;2;1;1;1;1;0;0;1;0;0;0;0;1;0;1;80000;
 «·—Ì«÷;   ÕÌ «·ﬁ«œ”Ì… ;€—»;250;0;5;5;1;1;1;0;0;0;0;1;0;1;0;0;1;0;0;55000;
 «·—Ì«÷;   ÕÌ «·—Ê÷… ;‘„«·;686;25;5;5;3;1;1;1;1;0;1;1;1;1;1;0;1;0;1;150000;
 «·—Ì«÷;   ÕÌ «·„’Ì› ;‘„«·;425;33;4;3;2;1;1;0;1;0;0;1;0;1;0;0;0;0;0;80000;
 «·—Ì«÷;   ÕÌ ÿÊÌﬁ ;Ã‰Ê» €—»Ì;300;0;4;5;3;1;0;0;1;0;0;0;0;1;0;0;1;0;0;37000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;‘„«·;250;0;5;5;1;1;1;0;1;0;0;0;0;1;0;1;1;0;0;80000;
 «·—Ì«÷;   ÕÌ «·⁄«—÷ ;Ã‰Ê»;360;0;5;5;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0;110000;
 «·—Ì«÷;   ÕÌ «·„Ê‰”Ì… ;Ã‰Ê»;312;0;3;4;2;1;1;0;1;0;0;1;0;1;0;0;1;1;0;65000;
 «·—Ì«÷;   ÕÌ ﬁ—ÿ»… ;‘„«·;390;5;7;5;4;1;1;1;1;0;1;0;0;1;0;0;1;0;0;130000;
 «·—Ì«÷;   ÕÌ «·—„«· ;Ã‰Ê»;280;3;4;3;1;0;1;0;1;0;0;0;0;1;0;0;1;0;1;3300;
 «·—Ì«÷;   ÕÌ «·„·ﬁ« ;Ã‰Ê»;200;2;6;5;2;1;1;0;1;0;1;0;0;1;0;1;1;0;0;90000;
 «·—Ì«÷;   ÕÌ «·‰—Ã” ;‘—ﬁ;230;0;5;5;2;1;1;1;1;0;1;0;0;1;0;1;1;0;0;85000;
 «·—Ì«÷;   ÕÌ «·›ÌÕ«¡ ;4 ‘Ê«—⁄;360;0;4;3;2;1;1;0;0;1;1;0;1;1;0;0;1;0;0;75000;
 «·—Ì«÷;   ÕÌ «·„Ê‰”Ì… ;‘„«·;312;2;3;5;2;1;1;0;1;1;1;1;0;1;0;0;1;0;0;145000;
 «·—Ì«÷;   ÕÌ «·—„«· ;‘—ﬁ;460;4;5;5;1;1;1;1;0;0;1;1;0;1;0;0;1;0;1;75000;
 «·—Ì«÷;   ÕÌ «·—Õ„«‰Ì… ;€—»;300;2;3;5;2;1;1;1;1;0;1;0;1;1;0;0;0;0;0;220000;
